年份,电影名,票房
2023,热烈,91298.9
2023,巨齿鲨2：深渊,85132.6
2023,雪豹和她的朋友们,269
2023,野蛮人入侵,99.6
2023,孤注一掷,384848.3
2023,忍者神龟：变种大乱斗,948.3
2023,飞向月球,2.1
2023,我经过风暴,18040.8
2023,暗杀风暴,8065.1
2023,学爸,61427.2
2023,奇迹少女,1607.1
2023,火山挚恋,615.7
2023,雪域少年,641.5
2023,王牌二哈,311.4
2023,最后的真相,5467.4
2023,念念相忘,7646
2023,燃冬,2607.3
2023,爱犬奇缘,633
2021,最遗憾的是错过你,1183.5
2023,绝地追击,2925
2023,奥本海默,44990.7
2023,GT赛车：极速狂飙,1346.4
2023,踢球吧少年,34.8
2023,永安镇故事集,321.6
2023,第八个嫌疑人,43905.6
2023,老师，别哭,184.1
2023,不虚此行,2729.6
2023,三贵情史,484.7
1998,红色恋人（,170.8
2023,敢死队4：最终章,15621.1
2023,鹦鹉杀,3919.5
2023,威尼斯惊魂夜,4371.3
2023,流水落花,26.4
2023,毒蜂,32
2023,嗨！神兽,125.5
2023,江米儿,10.8
2023,坚如磐石,134938.8
2023,前任4：英年早婚,100977.1
2023,贝肯熊：火星任务,8054.8
2023,好像也没那么热血沸腾,17520.7
2023,志愿军：雄兵出击,86705.8
2023,小美人鱼之大海怪传说,633
2023,93国际列车大劫案：莫斯科行动,66143.2
2023,功夫王之萌虎上山,503.7
2023,汪汪队立大功大电影2：超能大冒险,13800.2
2023,疯狂大营救,86.7
2023,速度与爱情,51.3
2023,珍·古道尔的传奇一生,319
2023,最好的相遇,1690.9
2023,爸爸的谎言,10.3
2023,河边的错误,30969.4
2023,看不见的顶峰,122.7
2023,白塔之光,697.4
2023,二手杰作,11193
2023,困兽,2102.3
2023,洋子的困惑,37.3
2023,失而复得,440.9
2023,一个和四个,465.5
2023,画魔人,196.4
2023,我爸没说到那件事,415.4
2023,我是霸王龙,3542
2023,普通男女,117
2023,拯救嫌疑人,56947.4
2023,惊奇队长2,11058.5
2023,无价之宝,13794.7
2023,追缉,2090.8
2023,迷你特工队之汉堡大作战,1330.5
2023,千里送鹤,18.8
2023,红猪,2313.2
2023,吾爱敦煌,898.9
2023,饥饿游戏：鸣鸟与蛇之歌,5739.2
2023,星愿,4277.4
2023,刀尖,5174.3
2023,我本是高山,10004.4
2023,靠近我一点,711.1
2023,蜡笔小新：新次元！超能力大决战,11974.5
2023,涉过愤怒的海,54913.6
2023,热搜,6324
2023,长安诡事传,106.8
2023,再见，李可乐,24195
2023,拿破仑,2789
2023,疾速营救,44
2023,瞒天过海,16596.2
2023,照明商店,27533.7
2023,旺卡,5388.6
2023,不要走散好不好,1624.7
2023,爆裂点,10001
2023,飞鸭向前冲,1612.3
2023,三大队,70567.8
2023,狗神,1748.9
2023,名侦探柯南：黑铁的鱼影,16283.1
2023,怒潮,22954.5
2023,月光武士,201.3
2023,仲肯,145.2
2023,海王2：失落的王国,46532.1
2023,爱乐之城（,27972.5
2023,潜行,38996.2
2023,年会不能停！,129240.3
2023,金手指,57430.9
2023,一闪一闪亮星星,70228.8
2023,非诚勿扰3,10220.5
2023,泰勒·斯威夫特：时代巡回演唱会,10115
2023,孤军,3114.3
2021,你的婚礼（,82274.3
2023,舒克贝塔·五角飞碟,6604.1
,,片名+#
2020,鹭世界,496.6
1997,美丽人生,5812.4
2020,变身特工,10353.1
2014,龙之谷：破晓奇兵（,5767.4（总计）
2020,野猪,129.2
2020,别告诉她,411.6
2020,理查德·朱维尔的哀歌,570.8
2020,为家而战,1718.6
2020,紫罗兰永恒花园外传,4859.9
2020,鲨海逃生,4732.1
2020,动物特工局,4428.2
2020,守望人,123.3
2020,第一次的离别,469
2009,风声（,21705.6（总计）
2017,寻梦环游记（,122958.7（总计）
2008,当幸福来敲门（,985.4（总计）
2018,何以为家（,37692.7（总计）
2015,夏洛特烦恼（,144768.4（总计）
2016,疯狂动物城（,153448.9（总计）
2020,喋血战士,4545.6
2020,多力特的奇幻冒险,13608.4
2014,超能陆战队（,52726.1（总计）
2019,乔乔的异想世界,1134.1
2020,抵达之谜,2535.4
2020,妙先生,1310.5
2020,刺猬索尼克,1994.2
2020,白狮奇缘,88.1
2020,白云之下,149.7
2020,呆瓜兄弟,8.3
2014,星际穿越（,87681.3
2020,十三猎杀,790.8
2020,1917,6911
2020,旺扎的雨靴,29.1
2020,极速车王,1566.2
2002,哈利·波特与魔法石（,19155（总计）
2020,绝地战警：疾速追击,3514.4
2018,悲伤逆流成河（,35747.4（总计）
2020,辣警霸王花：澳门行动,11.1
2020,禹神传之王者少年,507.7
2020,再见，陌生人,43.7
2020,1/2的魔法,7050.3
2020,魔发精灵2,687.3
2020,八佰,309448.2
2020,北平会馆,823.5
2020,荞麦疯长,5168.5
2020,小妇人,4730.3
2020,我在时间尽头等你,50182.7
2020,今生只为遇见你,0.61
2020,漫长的告别,81.6
2010,盗梦空间（,49589.5（总计）
2020,信条,45507.1
2020,假面饭店,1701.6
2020,半条被子,51.3
2020,阿里巴巴与神灯,2143.2
2020,新愚公移山,186.1
2020,未知嫌疑人,141
2020,辉夜大小姐想让我告白,1.5
2020,我的女友是机器人,4252
2020,花木兰,27726.5
2020,极寒风暴,83.9
2020,通往春天的列车,324
2020,麦路人,1796
2020,邻里美好的一天,196.4
2020,死无对证,2934.6
2020,蓝色防线,713.6
2020,萌宠流浪记,1116.1
1999,菊次郎的夏天,895.3
2020,夺冠,83485.2
2020,急先锋,29294.6
2020,姜子牙,160017.3
2020,我和我的家乡,282653.2
2020,2019阅兵盛典,2719
2020,一点就到家,31216.8
2020,再见吧！少年,350.8
2020,七号房的礼物,1451.9
2020,喜宝,11345.1
2020,掬水月在手,782.5
2020,秀美人生,5259.2
2020,木兰：横空出世,788.1
2020,天道王,2516.1
2020,82号古宅,766.8
2018,达芬奇大冒险：拯救蒙娜丽莎,204.6
2018,以寡敌众,54
2020,父子拳王,39.4
2020,一丈天地,6
2020,罗非是条鱼,2.3
2020,四年二班,15.5
2020,云做的翅膀,2.3
2020,飞奔去月球,535
2020,金刚川,112295.7
2020,数码宝贝：最后的进化,12528.3
2020,月半爱丽丝,2851.6
2020,网络凶铃,1503.3
2020,红色警戒,34.5
2020,风平浪静,8353.4
2020,未来的未来,998.9
2020,光,342.2
2020,地狱男爵：血皇后崛起,8624.8
2020,达琳达,10.5
2020,一日成交,73.4
2020,热血合唱团,7001.8
2020,汪汪队立大功之超能救援,7907.2
2020,热气球飞行家,2113.6
2020,野性的呼唤,3427.7
2020,马永贞之闸北决,569.9
2020,九条命,158.7
2020,翱翔雄心,140.9
2020,婚前故事,150
2020,冬去冬又来,25.6
2020,橙妹儿的时代,60.1
2020,守望相思树,324.6
2020,天边加油站,64.4
2020,爱情呼叫等待,33.3
2020,气·球,666.4
2020,海兽之子,1636
2020,除暴,53777.1
2020,末日逃生,3423.7
2020,天堂的张望,31.9
2020,妈祖回家,36.8
2020,天下无拐,3.1
2016,麦兜·饭宝奇兵（,1964.2（总计）
2020,应承,95.6
2019,流浪地球（,417.6
2020,一秒钟,13123.3
2020,日光之下,107
2020,疯狂原始人2,35323.4
2020,闺蜜心窍,397.2
2020,隐形人,2559.3
2002,赤狐书生,18566.9
2020,如果声音不记得,33515.8
2020,宝可梦：超梦的逆袭 进化,1618.3
2020,怪物猎人,3388.4
2020,棒！少年,785.3
2020,沐浴之王,40471.1
2020,哆啦A梦：大雄的新恐龙,6479.6
2020,少女佳禾,782.2
2018,城市猎人,243.6
2019,猎杀T34,2324.7
2020,神奇女侠1984,16716.4
2020,紧急救援,48507.6
2020,奇妙王国之魔法奇缘,1004.7
2020,光语者,38.4
2020,拆弹专家2,131382.5
2020,明天你是否依然爱我,6911.5
2020,封口者,227.3
2020,晴雅集,44271.3
2020,心灵奇旅,37620.6
2020,送你一朵小红花,143246
2020,温暖的抱抱,86429.7
2008,崖上的波妞,2832.9
